slug	title	type	domain	anchor	anchor_label	file_path
transitory_visual-loss	Visual Loss	transitory	visual	#what-is-it	What is it?	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#experience	What it feels like	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#patient-accounts	How patients describe it	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#subtypes	Subtypes	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#related	Related symptoms	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#clinical-note	Clinical note	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#blurred-vision	Blurred Vision	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#scotoma	Scotoma (Blind Spot)	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#scintillating-scotoma	Scintillating Scotoma (Flickering Blind Spot)	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#hemianopia	Hemianopia (Loss of Half the Visual Field)	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#complete-blindness	Complete Temporary Blindness	transitory_visual-loss.md
transitory_visual-loss	Visual Loss	transitory	visual	#perceptual-completion	Perceptual Completion Phenomenon	transitory_visual-loss.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#what-is-it	What is it?	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#experience	What it feels like	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#patient-accounts	How patients describe it	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#subtypes	Subtypes	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#related	Related symptoms	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#clinical-note	Clinical note	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#random-form	Random Form Dimension (TV Static, Dots, Flickering Points)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#line-form	Line Form Dimension (Straight Lines and Zigzags)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#curve-form	Curve Form Dimension (Arcs, Curves, Spirals)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#web-form	Web Form Dimension (Net-Like or Mesh Patterns)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#lattice-form	Lattice Form Dimension (Regular Grid or Lattice)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#tunnel-form	Tunnel Form Dimension (Concentric Rings or Tunnel Effect)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#spiral-form	Spiral Form Dimension (Rotating Spirals)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#kaleidoscope-form	Kaleidoscope Form Dimension (Complex Symmetric Patterns)	transitory_visual-hallucinations.md
transitory_visual-hallucinations	Visual Hallucinations	transitory	visual	#complex-hallucinations	Complex Visual Hallucinations	transitory_visual-hallucinations.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#what-is-it	What is it?	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#experience	What it feels like	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#patient-accounts	How patients describe it	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#subtypes	Subtypes	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#related	Related symptoms	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#clinical-note	Clinical note	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#dysmetropsia	Dysmetropsia	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#macropsia	Macropsia	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#micropsia	Micropsia	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#pelopsia	Pelopsia	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#teleopsia	Teleopsia	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#diplopia	Diplopia (Double Vision)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#polyopia	Polyopia (Multiple Images)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#visual-perseveration	Visual Perseveration / Palinopsia (Lingering Images)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#cinematographic-vision	Cinematographic Vision (Stroboscopic Vision)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#corona-phenomenon	Corona Phenomenon (Haloing)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#illusory-visual-splitting	Illusory Visual Splitting	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#metamorphopsia	Metamorphopsia (Distorted Shapes)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#facial-metamorphopsia	Facial Metamorphopsia (Distorted Faces)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#mosaic-illusion	Mosaic Illusion (Fragmented Vision)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#autokinesis	Autokinesis (Illusory Movement)	transitory_visual-illusions.md
transitory_visual-illusions	Visual Illusions	transitory	visual	#tilted-vision	Tilted Vision / Inverted Vision	transitory_visual-illusions.md
transitory_somatosensory-symptoms	Somatosensory Symptoms (Tingling and Numbness)	transitory	somatosensory	#what-is-it	What is it?	transitory_somatosensory-symptoms.md
